# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data)
# Provider;MINES ParisTech / Armines / Transvalor (France)
# More information at;http://www.soda-is.com
# Site latitude (positive means North);59.325
# Site longitude (positive means East);18.071
# Elevation (m);28
# Date beginning;2005-01-01
# Date end;2005-12-31
# Time reference (hour);TST
# Summarization (period of integration);15 minutes (min)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization
# Tilt angle (degrees);20.0 
# Azimuth angle (degrees); 270.0 
# Albedo of the ground;0.20 
# Take into account the shadows due to relief?;0 (no)
# Calibration;None
# Minimum Sun Elevation;12
#
# Columns:
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data)
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial)
# Code;0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time

# Irradiation values on inclined surface from HelioClim-3
# Date;Time;Direct Inclined;Diffuse Inclined;Reflected;Global Inclined;Direct Horiz;Diffuse Horiz;Global Horiz;Clear-Sky;Top of Atmosphere;Code
2005-01-01;00:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;00:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;00:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;08:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;08:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;08:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;08:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;09:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;09:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.6966;3.3021;1
2005-01-01;09:30;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;3.0881;10.4788;0
2005-01-01;09:45;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;6.1384;17.1190;0
2005-01-01;10:00;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;9.4344;23.1791;0
2005-01-01;10:15;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;12.7134;28.6330;0
2005-01-01;10:30;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;15.8183;33.4574;0
2005-01-01;10:45;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;18.6256;37.6316;0
2005-01-01;11:00;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;21.0510;41.1378;0
2005-01-01;11:15;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;23.0371;43.9610;0
2005-01-01;11:30;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;24.5442;46.0890;0
2005-01-01;11:45;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;25.5462;47.5127;0
2005-01-01;12:00;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;26.0274;48.2261;0
2005-01-01;12:15;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;25.9816;48.2261;0
2005-01-01;12:30;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;25.4111;47.5127;0
2005-01-01;12:45;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;24.3271;46.0890;0
2005-01-01;13:00;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;22.7499;43.9610;0
2005-01-01;13:15;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;-999.0000;20.7080;41.1378;0
