# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2018-01-01;00:15;284,35;93,45;1002,32;3,46;222,30;0,007349;0,000000;0,000001;0,0000
2018-01-01;00:30;284,31;93,45;1002,21;3,43;221,03;0,006240;0,000000;0,000001;0,0000
2018-01-01;00:45;284,27;93,43;1002,09;3,43;219,61;0,005542;0,000000;0,000001;0,0000
2018-01-01;01:00;284,25;93,38;1001,97;3,45;218,06;0,005255;0,000000;0,000001;0,0000
2018-01-01;01:15;284,23;93,33;1001,84;3,47;216,53;0,004968;0,000000;0,000001;0,0000
2018-01-01;01:30;284,20;93,29;1001,71;3,50;215,02;0,004682;0,000000;0,000001;0,0000
2018-01-01;01:45;284,17;93,30;1001,58;3,53;213,62;0,004395;0,000000;0,000001;0,0000
2018-01-01;02:00;284,14;93,37;1001,42;3,57;212,34;0,004110;0,000000;0,000001;0,0000
2018-01-01;02:15;284,10;93,44;1001,27;3,62;211,09;0,003824;0,000000;0,000001;0,0000
2018-01-01;02:30;284,06;93,51;1001,12;3,66;209,86;0,003539;0,000000;0,000001;0,0000
2018-01-01;02:45;284,04;93,57;1000,99;3,70;208,27;0,003214;0,000000;0,000001;0,0000
2018-01-01;03:00;284,03;93,63;1000,87;3,73;206,30;0,002851;0,000000;0,000001;0,0000
2018-01-01;03:15;284,02;93,68;1000,74;3,76;204,37;0,002488;0,000000;0,000001;0,0000
2018-01-01;03:30;284,02;93,74;1000,62;3,80;202,47;0,002125;0,000000;0,000001;0,0000
2018-01-01;03:45;284,01;93,87;1000,51;3,83;199,97;0,001849;0,000000;0,000001;0,0000
2018-01-01;04:00;283,99;94,08;1000,40;3,87;196,89;0,001661;0,000000;0,000001;0,0000
2018-01-01;04:15;283,98;94,29;1000,30;3,92;193,88;0,001473;0,000000;0,000001;0,0000
2018-01-01;04:30;283,96;94,49;1000,20;3,98;190,95;0,001285;0,000000;0,000001;0,0000
2018-01-01;04:45;283,95;94,75;1000,09;4,06;188,29;0,001200;0,000000;0,000001;0,0000
2018-01-01;05:00;283,95;95,05;999,97;4,16;185,91;0,001217;0,000000;0,000001;0,0000
2018-01-01;05:15;283,94;95,34;999,85;4,27;183,64;0,001235;0,000000;0,000001;0,0000
2018-01-01;05:30;283,94;95,64;999,74;4,38;181,49;0,001253;0,000000;0,000001;0,0000
2018-01-01;05:45;283,95;95,87;999,62;4,49;180,00;0,001299;0,000000;0,000001;0,0000
2018-01-01;06:00;283,98;96,04;999,51;4,61;179,12;0,001373;0,000000;0,000001;0,0000
2018-01-01;06:15;284,02;96,21;999,40;4,72;178,28;0,001448;0,000000;0,000001;0,0000
2018-01-01;06:30;284,05;96,37;999,29;4,84;177,48;0,001522;0,000000;0,000001;0,0000
2018-01-01;06:45;284,21;96,04;999,21;4,94;177,42;0,001971;0,000000;0,000001;1,8718
2018-01-01;07:00;284,48;95,20;999,16;5,03;178,04;0,002795;0,000000;0,000001;6,4147
2018-01-01;07:15;284,76;94,38;999,11;5,12;178,64;0,003618;0,000000;0,000001;10,9163
2018-01-01;07:30;285,03;93,55;999,06;5,22;179,22;0,004441;0,000000;0,000001;15,3320
2018-01-01;07:45;285,33;92,64;999,01;5,37;180,17;0,006294;0,000000;0,000001;19,7776
2018-01-01;08:00;285,64;91,66;998,97;5,60;181,43;0,009176;0,000000;0,000001;24,3139
2018-01-01;08:15;285,95;90,68;998,93;5,82;182,60;0,012058;0,000000;0,000001;28,7992
2018-01-01;08:30;286,26;89,71;998,89;6,05;183,67;0,014941;0,000000;0,000001;33,2004
2018-01-01;08:45;286,49;88,97;998,82;6,29;184,87;0,017618;0,000000;0,000001;38,5947
2018-01-01;09:00;286,64;88,45;998,71;6,53;186,17;0,020091;0,000000;0,000001;45,2392
2018-01-01;09:15;286,78;87,93;998,60;6,78;187,38;0,022564;0,000000;0,000001;52,0411
2018-01-01;09:30;286,93;87,41;998,49;7,03;188,50;0,025037;0,000000;0,000000;58,9097
2018-01-01;09:45;287,06;86,96;998,29;7,23;190,26;0,028009;0,000000;0,000000;65,7346
2018-01-01;10:00;287,19;86,58;998,00;7,37;192,64;0,031479;0,000000;0,000000;72,4192
2018-01-01;10:15;287,31;86,19;997,71;7,53;194,92;0,034949;0,000000;0,000000;78,8851
2018-01-01;10:30;287,43;85,81;997,41;7,70;197,10;0,038419;0,000000;0,000000;85,0371
2018-01-01;10:45;287,51;85,56;997,11;7,76;200,95;0,044704;0,000000;0,000000;87,5832
2018-01-01;11:00;287,56;85,46;996,78;7,74;206,58;0,053805;0,000000;0,000000;86,3382
2018-01-01;11:15;287,60;85,35;996,45;7,79;212,18;0,062907;0,000000;0,000000;84,4857
2018-01-01;11:30;287,65;85,25;996,13;7,92;217,66;0,072008;0,000000;0,000000;82,0670
2018-01-01;11:45;287,64;84,94;995,88;8,00;224,18;0,082835;0,000000;0,000000;78,6063
2018-01-01;12:00;287,58;84,43;995,70;8,09;231,86;0,095387;0,000000;0,000000;74,1769
2018-01-01;12:15;287,52;83,92;995,52;8,32;239,25;0,107939;0,000000;0,000000;69,3720
2018-01-01;12:30;287,45;83,40;995,34;8,67;246,13;0,120491;0,000000;0,000000;64,2609
2018-01-01;12:45;287,34;82,54;995,26;9,02;251,65;0,117180;0,000000;0,000000;59,1517
2018-01-01;13:00;287,16;81,33;995,27;9,30;256,07;0,098004;0,000000;0,000000;54,0794
2018-01-01;13:15;286,98;80,07;995,28;9,64;260,20;0,078829;0,000000;0,000000;48,8556
2018-01-01;13:30;286,81;78,78;995,29;10,03;264,03;0,059653;0,000000;0,000000;43,5398
2018-01-01;13:45;286,64;77,50;995,30;10,22;266,19;0,045034;0,000000;0,000000;39,9052
2018-01-01;14:00;286,48;76,24;995,32;10,19;266,89;0,034972;0,000000;0,000000;37,5031
2018-01-01;14:15;286,33;74,94;995,33;10,16;267,61;0,024910;0,000000;0,000000;34,4416
2018-01-01;14:30;286,17;73,62;995,35;10,13;268,32;0,014848;0,000000;0,000000;30,7029
2018-01-01;14:45;286,02;72,94;995,33;10,06;268,57;0,009690;0,000000;0,000000;24,4241
2018-01-01;15:00;285,88;72,94;995,28;9,93;268,35;0,009436;0,000000;0,000000;16,8360
2018-01-01;15:15;285,74;72,93;995,24;9,81;268,12;0,009182;0,000000;0,000000;10,2881
2018-01-01;15:30;285,61;72,91;995,19;9,69;267,88;0,008928;0,000000;0,000000;4,8779
2018-01-01;15:45;285,52;73,01;995,15;9,61;267,94;0,009644;0,000000;0,000000;0,8128
2018-01-01;16:00;285,49;73,21;995,12;9,59;268,31;0,011329;0,000000;0,000000;0,0000
2018-01-01;16:15;285,46;73,42;995,10;9,57;268,67;0,013014;0,000000;0,000000;0,0000
2018-01-01;16:30;285,42;73,63;995,07;9,55;269,04;0,014699;0,000000;0,000000;0,0000
2018-01-01;16:45;285,43;73,75;995,07;9,56;269,70;0,015284;0,000000;0,000000;0,0000
2018-01-01;17:00;285,47;73,77;995,12;9,59;270,65;0,014769;0,000000;0,000000;0,0000
2018-01-01;17:15;285,51;73,79;995,16;9,62;271,59;0,014254;0,000000;0,000000;0,0000
2018-01-01;17:30;285,55;73,82;995,21;9,66;272,53;0,013739;0,000000;0,000000;0,0000
2018-01-01;17:45;285,53;74,04;995,25;9,63;273,40;0,012147;0,000000;0,000000;0,0000
2018-01-01;18:00;285,44;74,46;995,29;9,53;274,24;0,009477;0,000000;0,000000;0,0000
2018-01-01;18:15;285,36;74,89;995,33;9,43;275,09;0,006807;0,000000;0,000000;0,0000
2018-01-01;18:30;285,27;75,32;995,37;9,34;275,96;0,004137;0,000000;0,000000;0,0000
2018-01-01;18:45;285,17;75,87;995,40;9,24;276,50;0,002490;0,000000;0,000000;0,0000
2018-01-01;19:00;285,03;76,56;995,41;9,13;276,70;0,001865;0,000000;0,000000;0,0000
2018-01-01;19:15;284,90;77,25;995,41;9,02;276,90;0,001240;0,000000;0,000000;0,0000
2018-01-01;19:30;284,77;77,95;995,42;8,91;277,10;0,000615;0,000000;0,000000;0,0000
2018-01-01;19:45;284,64;78,66;995,45;8,81;277,27;0,000373;0,000000;0,000000;0,0000
2018-01-01;20:00;284,52;79,40;995,50;8,73;277,40;0,000515;0,000000;0,000000;0,0000
2018-01-01;20:15;284,40;80,14;995,55;8,66;277,53;0,000656;0,000000;0,000000;0,0000
2018-01-01;20:30;284,28;80,89;995,60;8,58;277,67;0,000797;0,000000;0,000000;0,0000
2018-01-01;20:45;284,18;81,41;995,68;8,55;278,10;0,000956;0,000000;0,000000;0,0000
2018-01-01;21:00;284,11;81,70;995,79;8,58;278,82;0,001134;0,000000;0,000000;0,0000
2018-01-01;21:15;284,04;81,99;995,89;8,62;279,54;0,001311;0,000000;0,000000;0,0000
2018-01-01;21:30;283,97;82,29;996,00;8,65;280,25;0,001488;0,000000;0,000000;0,0000
2018-01-01;21:45;283,96;82,17;996,07;8,73;281,04;0,001501;0,000000;0,000000;0,0000
2018-01-01;22:00;284,01;81,64;996,10;8,87;281,89;0,001349;0,000000;0,000000;0,0000
2018-01-01;22:15;284,07;81,11;996,12;9,00;282,72;0,001198;0,000000;0,000000;0,0000
2018-01-01;22:30;284,12;80,58;996,15;9,14;283,52;0,001046;0,000000;0,000000;0,0000
2018-01-01;22:45;284,16;80,15;996,09;9,15;283,88;0,000910;0,000000;0,000000;0,0000
2018-01-01;23:00;284,20;79,83;995,94;9,02;283,80;0,000791;0,000000;0,000000;0,0000
2018-01-01;23:15;284,24;79,50;995,78;8,89;283,72;0,000672;0,000000;0,000000;0,0000
2018-01-01;23:30;284,27;79,17;995,63;8,76;283,64;0,000553;0,000000;0,000000;0,0000
2018-01-01;23:45;284,30;78,90;995,46;8,59;282,97;0,000519;0,000000;0,000000;0,0000
2018-01-01;24:00;284,31;78,69;995,28;8,37;281,64;0,000571;0,000000;0,000000;0,0000
2018-01-02;00:15;284,32;78,47;995,10;8,16;280,25;0,000623;0,000000;0,000000;0,0000
2018-01-02;00:30;284,34;78,26;994,91;7,95;278,79;0,000674;0,000000;0,000000;0,0000
2018-01-02;00:45;284,32;78,22;994,75;7,76;277,12;0,001019;0,000000;0,000000;0,0000
2018-01-02;01:00;284,28;78,36;994,60;7,59;275,25;0,001655;0,000000;0,000000;0,0000
2018-01-02;01:15;284,23;78,51;994,45;7,43;273,29;0,002292;0,000000;0,000000;0,0000
2018-01-02;01:30;284,18;78,65;994,30;7,27;271,24;0,002929;0,000000;0,000000;0,0000
2018-01-02;01:45;284,16;78,77;994,14;7,18;269,43;0,007891;0,000000;0,000000;0,0000
2018-01-02;02:00;284,18;78,88;993,96;7,14;267,90;0,017178;0,000000;0,000000;0,0000
2018-01-02;02:15;284,19;78,99;993,78;7,11;266,36;0,026465;0,000000;0,000000;0,0000
2018-01-02;02:30;284,20;79,10;993,61;7,08;264,80;0,035752;0,000000;0,000000;0,0000
2018-01-02;02:45;284,19;79,63;993,43;7,04;263,32;0,057243;0,000000;0,000000;0,0000
2018-01-02;03:00;284,18;80,59;993,26;6,98;261,91;0,090937;0,000000;0,000000;0,0000
2018-01-02;03:15;284,16;81,56;993,09;6,92;260,47;0,124632;0,000000;0,000000;0,0000
2018-01-02;03:30;284,15;82,52;992,92;6,87;259,00;0,158327;0,000000;0,000000;0,0000
2018-01-02;03:45;284,12;83,59;992,74;6,82;257,69;0,216482;0,000000;0,000000;0,0000
2018-01-02;04:00;284,10;84,77;992,57;6,79;256,53;0,299095;0,000000;0,000000;0,0000
2018-01-02;04:15;284,07;85,95;992,39;6,76;255,37;0,381708;0,000000;0,000000;0,0000
2018-01-02;04:30;284,04;87,13;992,21;6,74;254,19;0,464322;0,000000;0,000000;0,0000
2018-01-02;04:45;284,05;87,76;992,04;6,77;254,12;0,523708;0,000000;0,000000;0,0000
2018-01-02;05:00;284,09;87,83;991,86;6,86;255,14;0,559868;0,000000;0,000000;0,0000
2018-01-02;05:15;284,13;87,90;991,68;6,95;256,13;0,596028;0,000000;0,000000;0,0000
2018-01-02;05:30;284,18;87,97;991,50;7,04;257,09;0,632188;0,000000;0,000000;0,0000
2018-01-02;05:45;284,24;87,55;991,36;7,09;259,03;0,601463;0,000000;0,000000;0,0000
2018-01-02;06:00;284,33;86,65;991,26;7,10;261,96;0,503853;0,000000;0,000000;0,0000
2018-01-02;06:15;284,41;85,77;991,16;7,13;264,87;0,406243;0,000000;0,000000;0,0000
2018-01-02;06:30;284,50;84,88;991,06;7,18;267,74;0,308634;0,000000;0,000000;0,0000
2018-01-02;06:45;284,57;84,09;990,99;7,09;270,30;0,235602;0,000000;0,000000;0,3910
2018-01-02;07:00;284,63;83,38;990,95;6,86;272,71;0,187149;0,000000;0,000000;1,9266
2018-01-02;07:15;284,68;82,67;990,91;6,64;275,28;0,138696;0,000000;0,000000;4,1631
2018-01-02;07:30;284,73;81,96;990,87;6,43;278,02;0,090242;0,000000;0,000000;7,0455
2018-01-02;07:45;284,80;81,38;990,83;6,22;279,84;0,062342;0,000000;0,000000;10,7276
2018-01-02;08:00;284,89;80,92;990,81;5,99;280,66;0,054996;0,000000;0,000000;15,2784
2018-01-02;08:15;284,98;80,47;990,79;5,76;281,54;0,047650;0,000000;0,000000;20,4623
2018-01-02;08:30;285,07;80,01;990,77;5,54;282,49;0,040304;0,000000;0,000000;26,1984
2018-01-02;08:45;285,19;79,31;990,76;5,41;283,23;0,036420;0,000000;0,000000;32,2948
2018-01-02;09:00;285,34;78,37;990,76;5,37;283,68;0,035999;0,000000;0,000000;38,6322
2018-01-02;09:15;285,49;77,43;990,76;5,34;284,13;0,035578;0,000000;0,000000;45,2153
2018-01-02;09:30;285,64;76,51;990,76;5,30;284,60;0,035157;0,000000;0,000000;51,9503
2018-01-02;09:45;285,76;75,63;990,75;5,28;285,82;0,035032;0,000000;0,000000;57,2920
2018-01-02;10:00;285,85;74,78;990,73;5,28;287,79;0,035202;0,000000;0,000000;60,9644
2018-01-02;10:15;285,94;73,94;990,71;5,28;289,75;0,035373;0,000000;0,000000;64,3093
2018-01-02;10:30;286,03;73,10;990,69;5,29;291,72;0,035544;0,000000;0,000000;67,2900
2018-01-02;10:45;286,08;72,48;990,67;5,32;294,18;0,036439;0,000000;0,000000;68,3519
2018-01-02;11:00;286,11;72,05;990,66;5,37;297,12;0,038058;0,000000;0,000000;67,4155
2018-01-02;11:15;286,13;71,63;990,64;5,43;300,00;0,039676;0,000000;0,000000;66,0046
2018-01-02;11:30;286,15;71,21;990,63;5,50;302,81;0,041295;0,000000;0,000000;64,1508
2018-01-02;11:45;286,15;70,90;990,63;5,55;305,83;0,042260;0,000000;0,000000;62,6121
2018-01-02;12:00;286,12;70,70;990,63;5,59;309,10;0,042571;0,000000;0,000000;61,3865
2018-01-02;12:15;286,09;70,51;990,64;5,64;312,32;0,042881;0,000000;0,000000;59,7498
2018-01-02;12:30;286,06;70,31;990,65;5,71;315,47;0,043192;0,000000;0,000000;57,7116
2018-01-02;12:45;286,02;70,14;990,71;5,73;318,47;0,040925;0,000000;0,000000;55,4167
2018-01-02;13:00;285,97;69,98;990,83;5,72;321,40;0,036081;0,000000;0,000000;52,8584
2018-01-02;13:15;285,92;69,83;990,95;5,72;324,32;0,031237;0,000000;0,000000;49,9060
2018-01-02;13:30;285,87;69,67;991,07;5,74;327,24;0,026394;0,000000;0,000000;46,5701
2018-01-02;13:45;285,79;69,81;991,26;5,71;329,72;0,023062;0,000000;0,000000;42,1299
2018-01-02;14:00;285,66;70,24;991,51;5,63;331,82;0,021244;0,000000;0,000000;36,8125
2018-01-02;14:15;285,54;70,68;991,77;5,56;333,97;0,019425;0,000000;0,000000;31,4648
2018-01-02;14:30;285,41;71,12;992,03;5,50;336,17;0,017607;0,000000;0,000000;26,1344
